epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.13547,1.71772,3.58418,1.7295,0.00424,0.63842,0.10709,0.06713,0.8826,3.20556,1.17263,0.00011432,0.00011432,0.00011432
2,7.72146,1.23407,3.09621,1.39953,0.00564,0.70405,0.19198,0.14701,0.76362,3.09701,1.07416,0.00019483,0.00019483,0.00019483
3,10.4509,1.10235,2.6314,1.32175,0.00587,0.72986,0.27094,0.21608,0.72803,2.92433,1.0221,0.00022441,0.00022441,0.00022441
4,12.7944,1.02136,2.43422,1.27315,0.00614,0.75031,0.32443,0.25742,0.71549,2.86103,1.01774,0.000203061,0.000203061,0.000203061
5,15.1031,0.9542,2.24094,1.22099,0.00602,0.73839,0.36677,0.2955,0.70679,2.76498,1.00584,0.000130782,0.000130782,0.000130782
