epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0049,1.43667,3.76881,1.64005,0.00581,0.66106,0.21084,0.15311,0.85701,3.01767,1.10448,0.00022864,0.00022864,0.00022864
2,42.066,0.99316,2.70522,1.28635,0.16301,0.61177,0.3749,0.26767,0.97724,2.82141,1.23295,0.000424885,0.000424885,0.000424885
3,53.5719,0.96928,2.33915,1.25463,0.93546,0.05207,0.3604,0.22193,1.14604,2.79974,1.30284,0.000573029,0.000573029,0.000573029
4,65.7991,0.96341,2.0925,1.2523,0.4893,0.14752,0.19357,0.08642,2.03942,3.16752,2.41969,0.000673073,0.000673073,0.000673073
